2026-08-27,79740.92051581816,69422.98,14.86242814096739
2026-08-28,80260.38874294674,69422.98,15.61069366792775
2026-08-29,77830.12952576322,69733.02,11.611585911184129
2026-08-30,78231.68979441667,69979.57,11.79218419664005
2026-08-31,77675.43987399321,70025.14,10.925076156924796
2026-09-01,78543.61459083238,70038.83,12.142956401231118
2026-09-02,77411.78188925835,70148.64,10.353931151421246
2026-09-03,77318.68390939813,70269.54,10.031578276160811
2026-09-04,81267.34094697649,70393.01,15.4480266534653
2026-09-05,79671.98162206792,70609.87,12.83405793279031
